id1,id2,Cooperations
id0,id15,11
id0,id3,1
id0,id26,2
id0,id13,2
id1,id2,1
id2,id5,4
id2,id1,1
id2,id12,2
id2,id3,1
id3,id13,4
id3,id24,1
id3,id7,6
id3,id26,1
id3,id10,5
id3,id15,4
id3,id0,1
id3,id21,8
id3,id6,7
id3,id9,2
id3,id14,3
id3,id25,2
id3,id22,10
id3,id2,1
id5,id2,4
id5,id23,2
id5,id26,3
id5,id17,1
id6,id13,11
id6,id3,7
id6,id25,2
id6,id10,1
id7,id11,3
id7,id3,6
id7,id12,4
id7,id21,2
id8,id26,1
id8,id15,16
id9,id26,2
id9,id12,5
id9,id3,2
id10,id3,5
id10,id20,5
id10,id13,11
id10,id6,1
id11,id7,3
id11,id15,2
id12,id7,4
id12,id9,5
id12,id2,2
id13,id3,4
id13,id23,1
id13,id18,6
id13,id0,2
id13,id6,11
id13,id20,9
id13,id10,11
id14,id20,3
id14,id21,6
id14,id26,2
id14,id25,10
id14,id3,3
id15,id0,11
id15,id11,2
id15,id3,4
id15,id8,16
id17,id5,1
id18,id13,6
id20,id25,2
id20,id14,3
id20,id21,2
id20,id10,5
id20,id13,9
id21,id20,2
id21,id14,6
id21,id25,2
id21,id7,2
id21,id3,8
id22,id25,1
id22,id3,10
id23,id26,5
id23,id5,2
id23,id13,1
id24,id3,1
id25,id26,1
id25,id20,2
id25,id21,2
id25,id6,2
id25,id14,10
id25,id22,1
id25,id3,2
id26,id23,5
id26,id25,1
id26,id3,1
id26,id9,2
id26,id8,1
id26,id0,2
id26,id5,3
id26,id14,2
